,Unnamed: 0,ano,data_eleicao,id_municipio,nome_urna,sigla_partido,idade,genero,raca,Resultado,nome_candidato,votos
115,115,2024,2024-10-06,2611606,Dilson Batista,AVANTE,45,masculino,preta,Não foi eleito,Dilson Batista,3494.0
116,116,2024,2024-10-06,2611606,Dinha De Saramandaia,PC do B,54,feminino,preta,Não foi eleito,Dinha De Saramandaia,453.0
117,117,2024,2024-10-06,2611606,Diácono Ronaldo,PSD,47,masculino,branca,Não foi eleito,,
118,118,2024,2024-10-06,2611606,Djyjo Do Ibura,CIDADANIA,50,masculino,parda,Não foi eleito,Djyjo Do Ibura,27.0
119,119,2024,2024-10-06,2611606,Doduel Varela,PSD,61,masculino,branca,Não foi eleito,Doduel Varela,6577.0
120,120,2024,2024-10-06,2611606,Domingos Sávio,PT,57,masculino,branca,Não foi eleito,Domingos Sávio,494.0
121,121,2024,2024-10-06,2611606,Dona Léo,PRD,71,feminino,parda,Não foi eleito,Dona Léo,116.0
122,122,2024,2024-10-06,2611606,Dona Val Dos Direitos Humanos,AVANTE,70,feminino,branca,Não foi eleito,Dona Val Dos Direitos Humanos,308.0
123,123,2024,2024-10-06,2611606,Douglas Brito Ativista,AVANTE,32,masculino,preta,Não foi eleito,Douglas Brito Ativista,3741.0
124,124,2024,2024-10-06,2611606,Douglas Pessoa,AVANTE,44,masculino,parda,Não foi eleito,Douglas Pessoa,239.0
125,125,2024,2024-10-06,2611606,Dr  Stênio,PSD,59,masculino,branca,Não foi eleito,Dr  Stênio,2324.0
126,126,2024,2024-10-06,2611606,Dr Ari Dutra,PRD,59,masculino,parda,Não foi eleito,Dr Ari Dutra,1322.0
127,127,2024,2024-10-06,2611606,Dr Eduardo Miranda,NOVO,67,masculino,branca,Não foi eleito,Dr Eduardo Miranda,514.0
128,128,2024,2024-10-06,2611606,Dr Penha,PRD,63,masculino,branca,Não foi eleito,Dr Penha,166.0
129,129,2024,2024-10-06,2611606,Dr Tiago Lima,PL,43,masculino,parda,Não foi eleito,Dr Tiago Lima,432.0
130,130,2024,2024-10-06,2611606,Dr. Elcio Cavalcanti,DC,63,masculino,branca,Não foi eleito,Dr. Elcio Cavalcanti,411.0
131,131,2024,2024-10-06,2611606,Dr. Robson Viana,DC,60,masculino,parda,Não foi eleito,Dr. Robson Viana,1000.0
132,132,2024,2024-10-06,2611606,Dr. Rogerio Lucca,PP,71,masculino,branca,Não foi eleito,Dr. Rogerio Lucca,974.0
133,133,2024,2024-10-06,2611606,Dra Carol Messias,NOVO,42,feminino,parda,Não foi eleito,Dra Carol Messias,533.0
134,134,2024,2024-10-06,2611606,Dra Roberta Virgínia,PSD,53,feminino,preta,Não foi eleito,Dra Roberta Virgínia,281.0
135,135,2024,2024-10-06,2611606,Dra Vera Lopes,PSB,74,feminino,branca,Não foi eleito,Dra Vera Lopes,1146.0
136,136,2024,2024-10-06,2611606,Dra. Thais Azevedo,DC,34,feminino,branca,Não foi eleito,Dra. Thais Azevedo,194.0
137,137,2024,2024-10-06,2611606,Driane Julia,PSD,35,feminino,branca,Não foi eleito,Driane Julia,36.0
138,138,2024,2024-10-06,2611606,Drica Do Povo,MOBILIZA,51,feminino,parda,Não foi eleito,Drica Do Povo,6.0
139,139,2024,2024-10-06,2611606,Duda Santos,PSD,27,feminino,parda,Não foi eleito,Duda Santos,75.0
140,140,2024,2024-10-06,2611606,Déa De Paula,PSD,35,feminino,branca,Não foi eleito,Déa De Paula,6016.0
141,141,2024,2024-10-06,2611606,Ebinho Florencio,REDE,33,masculino,branca,Não foi eleito,Ebinho Florencio,5391.0
142,142,2024,2024-10-06,2611606,Edileuza Sobreira,PL,60,feminino,branca,Não foi eleito,Edileuza Sobreira,285.0
143,143,2024,2024-10-06,2611606,Edivaldo Valentin,MOBILIZA,72,masculino,branca,Não foi eleito,Edivaldo Valentin,126.0
144,144,2024,2024-10-06,2611606,Edmar De Oliveira,DC,65,masculino,branca,Não foi eleito,Edmar De Oliveira,2350.0
145,145,2024,2024-10-06,2611606,Edna Rodrigues,NOVO,57,feminino,parda,Não foi eleito,Edna Rodrigues,46.0
146,146,2024,2024-10-06,2611606,Edson Otica,NOVO,50,masculino,branca,Não foi eleito,Edson Otica,510.0
147,147,2024,2024-10-06,2611606,Eduardo Amancio,REPUBLICANOS,41,masculino,branca,Não foi eleito,Eduardo Amancio,1525.0
148,148,2024,2024-10-06,2611606,Eduardo Campelo,PRD,54,masculino,parda,Não foi eleito,Eduardo Campelo,429.0
149,149,2024,2024-10-06,2611606,Eduardo Inojosa,NOVO,28,masculino,branca,Não foi eleito,Eduardo Inojosa,2791.0
150,150,2024,2024-10-06,2611606,Eduardo Marques,PSB,56,masculino,branca,Não foi eleito,Eduardo Marques,8346.0
151,151,2024,2024-10-06,2611606,Eduardo Mota,PSB,31,masculino,branca,Eleito,Eduardo Mota,11786.0
152,152,2024,2024-10-06,2611606,Eduardo Moura,NOVO,45,masculino,branca,Eleito,Eduardo Moura,5283.0
153,153,2024,2024-10-06,2611606,Eduardo Paysan,PSOL,46,masculino,branca,Não foi eleito,Eduardo Paysan,320.0
154,154,2024,2024-10-06,2611606,Eduardo Vila Nova,NOVO,52,masculino,parda,Não foi eleito,Eduardo Vila Nova,561.0
155,155,2024,2024-10-06,2611606,Edvaldo Comerciante,MOBILIZA,54,masculino,preta,Não foi eleito,Edvaldo Comerciante,135.0
156,156,2024,2024-10-06,2611606,Edvaldo Júnior,PSOL,19,masculino,parda,Não foi eleito,Edvaldo Júnior,147.0
157,157,2024,2024-10-06,2611606,Egre Guerra,DC,55,feminino,branca,Não foi eleito,Egre Guerra,24.0
158,158,2024,2024-10-06,2611606,Elaine Cristina,PSOL,42,feminino,preta,Não foi eleito,Elaine Cristina,957.0
159,159,2024,2024-10-06,2611606,Elba Santos,PP,51,feminino,preta,Não foi eleito,Elba Santos,175.0
160,160,2024,2024-10-06,2611606,Elias Santos,REDE,55,masculino,parda,Não foi eleito,Elias Santos,149.0
161,161,2024,2024-10-06,2611606,Ellinsson Rodoviário,PSD,56,masculino,preta,Não foi eleito,Ellinsson Rodoviário,183.0
162,162,2024,2024-10-06,2611606,Ellis Mendonca,NOVO,45,feminino,parda,Não foi eleito,Ellis Mendonca,176.0
163,163,2024,2024-10-06,2611606,Elson Ótica,MDB,45,masculino,parda,Não foi eleito,Elson Ótica,4560.0
164,164,2024,2024-10-06,2611606,Elton Pereira,MOBILIZA,41,masculino,preta,Não foi eleito,Elton Pereira,129.0
165,165,2024,2024-10-06,2611606,Emerson Lardião,PSDB,37,masculino,branca,Não foi eleito,Emerson Lardião,103.0
166,166,2024,2024-10-06,2611606,Engenheiro Fred Brennand,PRD,45,masculino,branca,Não foi eleito,Engenheiro Fred Brennand,436.0
167,167,2024,2024-10-06,2611606,Eriberto Rafael,PSB,36,masculino,branca,Eleito,Eriberto Rafael,14867.0
168,168,2024,2024-10-06,2611606,Erika Suruagy,PT,47,feminino,parda,Não foi eleito,Erika Suruagy,1659.0
169,169,2024,2024-10-06,2611606,Ernando Coloia,AVANTE,34,masculino,preta,Não foi eleito,Ernando Coloia,223.0
170,170,2024,2024-10-06,2611606,Euma Leônidas,PP,66,feminino,parda,Não foi eleito,,
171,171,2024,2024-10-06,2611606,Eunice Melo,MOBILIZA,54,feminino,branca,Não foi eleito,Eunice Melo,100.0
172,172,2024,2024-10-06,2611606,Expedito Filho,NOVO,32,masculino,branca,Não foi eleito,Expedito Filho,348.0
173,173,2024,2024-10-06,2611606,Fabiano Ferraz,MDB,44,masculino,branca,Eleito,Fabiano Ferraz,9778.0
174,174,2024,2024-10-06,2611606,Fabio Terra Samba,PC do B,43,masculino,parda,Não foi eleito,Fabio Terra Samba,238.0
175,175,2024,2024-10-06,2611606,Felipe Alecrim,NOVO,43,masculino,branca,Eleito,Felipe Alecrim,7901.0
176,176,2024,2024-10-06,2611606,Felipe Coco,NOVO,40,masculino,preta,Não foi eleito,Felipe Coco,1122.0
177,177,2024,2024-10-06,2611606,Felipe Francismar,PSB,36,masculino,branca,Eleito,Felipe Francismar,13850.0
178,178,2024,2024-10-06,2611606,Fernanda Patricia,REPUBLICANOS,53,feminino,preta,Não foi eleito,Fernanda Patricia,402.0
179,179,2024,2024-10-06,2611606,Fernando Lima,DC,66,masculino,branca,Não foi eleito,Fernando Lima,223.0
180,180,2024,2024-10-06,2611606,Fernando Santos,PRD,54,masculino,branca,Não foi eleito,Fernando Santos,382.0
181,181,2024,2024-10-06,2611606,Fia Da Ong,PSD,43,feminino,parda,Não foi eleito,Fia Da Ong,23.0
182,182,2024,2024-10-06,2611606,Fio,PSD,41,masculino,preta,Não foi eleito,Fio,375.0
183,183,2024,2024-10-06,2611606,Flávia De Nadegi,PV,34,feminino,branca,Não foi eleito,Flávia De Nadegi,11278.0
184,184,2024,2024-10-06,2611606,Flávio Galego,PP,45,masculino,branca,Não foi eleito,Flávio Galego,277.0
185,185,2024,2024-10-06,2611606,Francis Herbert,PC do B,52,masculino,preta,Não foi eleito,Francis Herbert,5275.0
186,186,2024,2024-10-06,2611606,Fred Ferreira,PL,47,masculino,parda,Eleito,Fred Ferreira,11804.0
187,187,2024,2024-10-06,2611606,Fred Filho,PL,59,masculino,branca,Não foi eleito,Fred Filho,467.0
188,188,2024,2024-10-06,2611606,Fred Uchoa,NOVO,44,masculino,parda,Não foi eleito,Fred Uchoa,327.0
189,189,2024,2024-10-06,2611606,Fubá,PSOL,40,masculino,preta,Não foi eleito,Fubá,82.0
190,190,2024,2024-10-06,2611606,Fábio Gomes,MDB,41,masculino,branca,Não foi eleito,Fábio Gomes,4091.0
191,191,2024,2024-10-06,2611606,Fátima Mendes,PSDB,68,feminino,branca,Não foi eleito,Fátima Mendes,18.0
192,192,2024,2024-10-06,2611606,Gabriel Barreto Campello,NOVO,39,masculino,branca,Não foi eleito,Gabriel Barreto Campello,1951.0
193,193,2024,2024-10-06,2611606,George Bastos,NOVO,25,masculino,branca,Não foi eleito,George Bastos,3714.0
194,194,2024,2024-10-06,2611606,Geraldo Rocha,PRD,72,masculino,parda,Não foi eleito,Geraldo Rocha,65.0
195,195,2024,2024-10-06,2611606,Geraldo Tavares Gt,REPUBLICANOS,60,masculino,branca,Não foi eleito,Geraldo Tavares Gt,174.0
196,196,2024,2024-10-06,2611606,Germana Lacerda,PSB,51,feminino,branca,Não foi eleito,Germana Lacerda,1139.0
197,197,2024,2024-10-06,2611606,Gessica Almeida,NOVO,42,feminino,parda,Não foi eleito,Gessica Almeida,879.0
