,ano,data_eleicao,id_municipio,nome_urna,sigla_partido,idade,genero,raca
142,2024,2024-10-06,2611606,Edileuza Sobreira,PL,60,feminino,branca
143,2024,2024-10-06,2611606,Edivaldo Valentin,MOBILIZA,72,masculino,branca
144,2024,2024-10-06,2611606,Edmar De Oliveira,DC,65,masculino,branca
145,2024,2024-10-06,2611606,Edna Rodrigues,NOVO,57,feminino,parda
146,2024,2024-10-06,2611606,Edson Otica,NOVO,50,masculino,branca
147,2024,2024-10-06,2611606,Eduardo Amancio,REPUBLICANOS,41,masculino,branca
148,2024,2024-10-06,2611606,Eduardo Campelo,PRD,54,masculino,parda
149,2024,2024-10-06,2611606,Eduardo Inojosa,NOVO,28,masculino,branca
150,2024,2024-10-06,2611606,Eduardo Marques,PSB,56,masculino,branca
151,2024,2024-10-06,2611606,Eduardo Mota,PSB,31,masculino,branca
152,2024,2024-10-06,2611606,Eduardo Moura,NOVO,45,masculino,branca
153,2024,2024-10-06,2611606,Eduardo Paysan,PSOL,46,masculino,branca
154,2024,2024-10-06,2611606,Eduardo Vila Nova,NOVO,52,masculino,parda
155,2024,2024-10-06,2611606,Edvaldo Comerciante,MOBILIZA,54,masculino,preta
156,2024,2024-10-06,2611606,Edvaldo Júnior,PSOL,19,masculino,parda
157,2024,2024-10-06,2611606,Egre Guerra,DC,55,feminino,branca
158,2024,2024-10-06,2611606,Elaine Cristina,PSOL,42,feminino,preta
159,2024,2024-10-06,2611606,Elba Santos,PP,51,feminino,preta
160,2024,2024-10-06,2611606,Elias Santos,REDE,55,masculino,parda
161,2024,2024-10-06,2611606,Ellinsson Rodoviário,PSD,56,masculino,preta
162,2024,2024-10-06,2611606,Ellis Mendonca,NOVO,45,feminino,parda
163,2024,2024-10-06,2611606,Elson Ótica,MDB,45,masculino,parda
164,2024,2024-10-06,2611606,Elton Pereira,MOBILIZA,41,masculino,preta
165,2024,2024-10-06,2611606,Emerson Lardião,PSDB,37,masculino,branca
166,2024,2024-10-06,2611606,Engenheiro Fred Brennand,PRD,45,masculino,branca
167,2024,2024-10-06,2611606,Eriberto Rafael,PSB,36,masculino,branca
168,2024,2024-10-06,2611606,Erika Suruagy,PT,47,feminino,parda
169,2024,2024-10-06,2611606,Ernando Coloia,AVANTE,34,masculino,preta
170,2024,2024-10-06,2611606,Euma Leônidas,PP,66,feminino,parda
171,2024,2024-10-06,2611606,Eunice Melo,MOBILIZA,54,feminino,branca
172,2024,2024-10-06,2611606,Expedito Filho,NOVO,32,masculino,branca
173,2024,2024-10-06,2611606,Fabiano Ferraz,MDB,44,masculino,branca
174,2024,2024-10-06,2611606,Fabio Terra Samba,PC do B,43,masculino,parda
175,2024,2024-10-06,2611606,Felipe Alecrim,NOVO,43,masculino,branca
176,2024,2024-10-06,2611606,Felipe Coco,NOVO,40,masculino,preta
177,2024,2024-10-06,2611606,Felipe Francismar,PSB,36,masculino,branca
178,2024,2024-10-06,2611606,Fernanda Patricia,REPUBLICANOS,53,feminino,preta
179,2024,2024-10-06,2611606,Fernando Lima,DC,66,masculino,branca
180,2024,2024-10-06,2611606,Fernando Santos,PRD,54,masculino,branca
