,local,sigla_partido,EBAIRRNOMEOF,latitude,longitude,RPA,votos
62,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,CIDADANIA,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,4
63,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,DC,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,11
64,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,MDB,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,180
65,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,MOBILIZA,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,13
66,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,NOVO,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,40
67,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,PC do B,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,43
68,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,PL,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,146
69,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,PP,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,230
70,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,PRD,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,92
71,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,PSB,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,1206
72,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,PSD,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,85
73,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,PSDB,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,7
74,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,PSOL,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,22
75,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,PT,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,73
76,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,PV,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,98
77,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,REDE,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,13
78,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,REPUBLICANOS,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,129
79,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,SOLIDARIEDADE,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,2
80,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,UP,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,2
81,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,AVANTE,CASA AMARELA,-8.0260939,-34.911044,RPA3,12
82,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,DC,CASA AMARELA,-8.0260939,-34.911044,RPA3,1
83,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,MDB,CASA AMARELA,-8.0260939,-34.911044,RPA3,26
84,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,MOBILIZA,CASA AMARELA,-8.0260939,-34.911044,RPA3,2
85,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,NOVO,CASA AMARELA,-8.0260939,-34.911044,RPA3,18
86,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,PC do B,CASA AMARELA,-8.0260939,-34.911044,RPA3,8
87,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,PL,CASA AMARELA,-8.0260939,-34.911044,RPA3,43
88,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,PP,CASA AMARELA,-8.0260939,-34.911044,RPA3,27
89,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,PRD,CASA AMARELA,-8.0260939,-34.911044,RPA3,15
90,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,PSB,CASA AMARELA,-8.0260939,-34.911044,RPA3,177
91,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,PSD,CASA AMARELA,-8.0260939,-34.911044,RPA3,15
92,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,PSDB,CASA AMARELA,-8.0260939,-34.911044,RPA3,1
93,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,PSOL,CASA AMARELA,-8.0260939,-34.911044,RPA3,16
94,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,PT,CASA AMARELA,-8.0260939,-34.911044,RPA3,31
95,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,PV,CASA AMARELA,-8.0260939,-34.911044,RPA3,25
96,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,REDE,CASA AMARELA,-8.0260939,-34.911044,RPA3,2
97,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,REPUBLICANOS,CASA AMARELA,-8.0260939,-34.911044,RPA3,34
98,ASSOC. EVANG. LUTERANA DE EDUC. ESPECIAL,UP,CASA AMARELA,-8.0260939,-34.911044,RPA3,1
99,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,AVANTE,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,13
100,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,DC,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,6
101,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,MDB,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,29
102,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,MOBILIZA,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,4
103,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,NOVO,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,6
104,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,PC do B,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,9
105,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,PL,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,20
106,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,PP,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,26
107,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,PRD,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,41
108,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,PSB,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,330
109,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,PSD,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,9
110,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,PSDB,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,1
111,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,PSOL,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,10
112,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,PT,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,14
113,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,PV,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,26
114,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,REDE,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,5
115,ASSOCIAÇÃO CENTRO EDUCACIONAL MAGNO DELAMADRI - ANTIGO CEMA,REPUBLICANOS,ALTO JOSE BONIFACIO,-8.01222854,-34.90917639,RPA3,41
116,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,AVANTE,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,34
117,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,CIDADANIA,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,3
118,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,DC,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,70
119,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,MDB,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,539
120,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,MOBILIZA,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,29
121,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,NOVO,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,242
122,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,PC do B,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,50
123,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,PL,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,464
124,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,PP,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,133
125,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,PRD,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,28
126,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,PSB,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,746
127,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,PSD,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,155
128,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,PSDB,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,5
